@age-5-6|5–6岁字库|最常用的小词和身边的字：我们、什么、是不是、有没有……认识它们就能开始读句子
小词儿（一）|💬|是:是的 不:不要 了:好了 在:在家 有:有人 的:我的 这:这个 那:那个 们:我们 他:他们
小词儿（二）|❓|她:她们 它:它们 谁:是谁 什:什么 么:什么 哪:哪里 怎:怎么 吗:好吗 呢:你呢 吧:走吧
来来去去|🚶|来:过来 去:出去 到:到了 出:出来 进:进来 回:回家 过:过河 往:往前 从:从前 给:给你
和也都|➕|和:我和你 也:也是 都:都是 还:还有 又:又来 再:再见 就:就是 很:很好 最:最好 太:太好了
会不会|🙋|会:会飞 能:不能 要:我要 可:可以 以:可以 得:觉得 着:看着 把:一把 让:让开 没:没有
大家|🧑‍🤝‍🧑|子:孩子 儿:儿子 生:生日 自:自己 己:自己 朋:朋友 您:您好 客:客人 叔:叔叔 姨:阿姨
有礼貌|🙏|谢:谢谢 请:请进 对:对不起 见:见面 安:晚安 岁:几岁 答:回答 礼:礼物 物:动物 错:不错
知道了|💡|知:知道 道:知道 认:认识 识:认识 懂:懂了 记:记住 忘:忘记 觉:觉得 发:发现 现:现在
什么时候|⏳|候:时候 先:首先 才:刚才 刚:刚才 已:已经 经:已经 常:常常 每:每天 次:一次 久:好久
几个|🔢|些:一些 几:几个 样:一样 种:一种 块:一块 条:一条 张:一张 件:一件 双:一双 第:第一
故事和图画|📖|事:事情 情:事情 话:说话 故:故事 图:图画 片:图片 色:颜色 颜:颜色 音:声音 信:写信
动动手|✋|拉:拉手 推:推开 抓:抓住 握:握手 举:举手 摸:摸摸 伸:伸手 扔:扔球 捡:捡起 摇:摇头
做起来|🛠️|用:用力 作:作业 停:停下 动:动物 立:站立 变:变大 成:变成 完:完了 带:带来 搬:搬家
心里想|💭|感:感谢 意:意思 思:意思 希:希望 望:希望 愿:愿意 相:相信 急:着急 伤:伤心 静:安静
学习|✏️|习:学习 教:教室 室:教室 算:算数 数:数字 题:问题 考:考试 试:考试 练:练习 页:一页
家里|🪑|屋:屋子 厅:客厅 椅:椅子 柜:柜子 盘:盘子 刀:小刀 勺:勺子 筷:筷子 瓶:瓶子 锅:锅子
好味道|🍳|汁:果汁 油:油条 盐:盐水 味:味道 饿:饿了 渴:口渴 尝:尝尝 切:切菜 煮:煮饭 烤:烤鸭
山水|🏞️|光:阳光 森:森林 岛:小岛 湖:湖水 江:长江 泉:泉水 溪:小溪 浪:海浪 野:野花 洋:海洋
动物（三）|🦌|鹅:白鹅 鸽:鸽子 燕:燕子 鹿:小鹿 狼:大灰狼 狐:狐狸 象:大象 蝶:蝴蝶 蚁:蚂蚁 鼠:老鼠
花草树木|🌱|根:树根 枝:树枝 苗:小苗 芽:发芽 松:松树 柳:柳树 荷:荷花 菊:菊花 梅:梅花 麦:小麦
身体（三）|🩹|肚:肚子 背:后背 肩:肩膀 眉:眉毛 毛:羽毛 皮:皮球 骨:骨头 病:生病 药:吃药 康:健康
去旅行|🚌|汽:汽车 铁:地铁 旅:旅行 行:旅行 接:接人 离:离开 近:很近 市:超市 超:超市 京:北京
颜色形状|🔷|紫:紫色 灰:灰色 粉:粉色 彩:彩色 亮:亮亮 暗:黑暗 形:形状 尖:尖尖 直:直直 弯:弯弯
